country,year,population
ZAF,2012,53782567.0
ZMB,2012,14913629.0
ZWE,2012,13817887.0
AGO,2013,26165620.0
ALB,2013,2895092.0
ARE,2013,7693031.0
ARM,2013,3022000.0
AUT,2013,8479823.0
BDI,2013,10439341.0
BEL,2013,11159407.0
BEN,2013,10708834.0
BFA,2013,17695409.0
BGR,2013,7160005.0
BHR,2013,1253191.0
BWA,2013,2140682.0
CAF,2013,4642419.0
CHE,2013,8089346.0
CIV,2013,23939775.0
CMR,2013,21402376.0
COD,2013,75789395.0
COG,2013,4857099.0
COM,2013,696192.0
CZE,2013,10514272.0
DEU,2013,80645605.0
DJI,2013,984824.0
DNK,2013,5614932.0
DZA,2013,38414171.0
EGY,2013,95333553.0
ERI,2013,3074360.0
ESP,2013,46604197.0
EST,2013,1317997.0
ETH,2013,98438751.0
FIN,2013,5438972.0
FRA,2013,65997932.0
GAB,2013,1913059.0
GBR,2013,64139000.0
GHA,2013,27386193.0
GIN,2013,11191873.0
GMB,2013,2103820.0
GNB,2013,1695973.0
GNQ,2013,1346218.0
GRC,2013,10965211.0
HRV,2013,4233922.0
HUN,2013,9872734.0
IRL,2013,4623816.0
IRN,2013,80414686.0
IRQ,2013,35281989.0
ITA,2013,60311613.0
JOR,2013,7991809.0
KEN,2013,44986791.0
KWT,2013,3507844.0
LBN,2013,5743436.0
LBR,2013,4470239.0
LBY,2013,6304628.0
LSO,2013,2056504.0
LTU,2013,2961250.0
LVA,2013,2012647.0
MAR,2013,33787571.0
MDG,2013,24109290.0
MLI,2013,17459615.0
MOZ,2013,25051611.0
MRT,2013,3734318.0
MUS,2013,1258927.0
MWI,2013,16161816.0
NAM,2013,2252508.0
NER,2013,18519898.0
NGA,2013,181049443.0
NLD,2013,16804432.0
NOR,2013,5079623.0
OMN,2013,3833913.0
POL,2013,38040196.0
PRT,2013,10457295.0
QAT,2013,1916426.0
ROU,2013,19983693.0
RWA,2013,11093340.0
SAU,2013,27624004.0
SDN,2013,37785849.0
SEN,2013,13710849.0
SLE,2013,6714051.0
SOM,2013,12869594.0
SSD,2013,11166275.0
SWE,2013,9600379.0
SWZ,2013,1129990.0
SYR,2013,21666917.0
TCD,2013,13691079.0
TGO,2013,7285442.0
TUN,2013,11141361.0
TUR,2013,76147624.0
TZA,2013,48824128.0
UGA,2013,35337042.0
YEM,2013,29312952.0
ZAF,2013,54678791.0
ZMB,2013,15398997.0
ZWE,2013,14013808.0
AGO,2014,27160769.0
ALB,2014,2889104.0
ARE,2014,8059440.0
ARM,2014,3013800.0
AUT,2014,8546356.0
BDI,2014,10799785.0
BEL,2014,11209057.0
BEN,2014,11030004.0
BFA,2014,18229461.0
BGR,2014,7073572.0
BHR,2014,1314562.0
BWA,2014,2172044.0
CAF,2014,4623182.0
CHE,2014,8188649.0
CIV,2014,24527395.0
CMR,2014,22059893.0
COD,2014,78403242.0
COG,2014,4975880.0
COM,2014,711503.0
CZE,2014,10525347.0
DEU,2014,80982500.0
DJI,2014,1002717.0
DNK,2014,5643475.0
DZA,2014,39205031.0
EGY,2014,97528654.0
ERI,2014,3095173.0
ESP,2014,46460733.0
EST,2014,1314545.0
ETH,2014,101115610.0
FIN,2014,5461512.0
FRA,2014,66312067.0
GAB,2014,1978399.0
GBR,2014,64620000.0
GHA,2014,28041592.0
GIN,2014,11472924.0
GMB,2014,2164528.0
GNB,2014,1741122.0
GNQ,2014,1399828.0
GRC,2014,10892413.0
HRV,2014,4201598.0
HUN,2014,9833038.0
IRL,2014,4657740.0
IRN,2014,81502045.0
IRQ,2014,36550059.0
ITA,2014,60320707.0
JOR,2014,8791710.0
KEN,2014,46051440.0
KWT,2014,3665876.0
LBN,2014,6346990.0
LBR,2014,4564293.0
LBY,2014,6427252.0
LSO,2014,2080089.0
LTU,2014,2937253.0
LVA,2014,1993782.0
MAR,2014,34204780.0
MDG,2014,24764348.0
MLI,2014,18020267.0
MOZ,2014,25788475.0
MRT,2014,3848514.0
MUS,2014,1261208.0
MWI,2014,16621538.0
NAM,2014,2312139.0
NER,2014,19215909.0
NGA,2014,185896915.0
NLD,2014,16865008.0
NOR,2014,5137232.0
OMN,2014,4002439.0
POL,2014,38011735.0
PRT,2014,10401062.0
QAT,2014,2151745.0
ROU,2014,19908979.0
RWA,2014,11364757.0
SAU,2014,28309273.0
SDN,2014,38823318.0
SEN,2014,14152102.0
SLE,2014,6876385.0
SOM,2014,13339491.0
SSD,2014,11235073.0
SWE,2014,9696110.0
SWZ,2014,1136299.0
SYR,2014,20273659.0
TCD,2014,14188678.0
TGO,2014,7472450.0
TUN,2014,11274288.0
TUR,2014,77181884.0
TZA,2014,50351512.0
UGA,2014,36395539.0
YEM,2014,30226309.0
ZAF,2014,55594838.0
ZMB,2014,15895315.0
ZWE,2014,14207359.0
AGO,2015,28157798.0
ALB,2015,2880703.0
ARE,2015,8505237.0
ARM,2015,3004600.0
AUT,2015,8642699.0
BDI,2015,11047580.0
BEL,2015,11274196.0
BEN,2015,11360681.0
BFA,2015,18777487.0
BGR,2015,6984225.0
BHR,2015,1370322.0
BWA,2015,2203273.0
CAF,2015,4629320.0
CHE,2015,8282396.0
CIV,2015,25246342.0
CMR,2015,22763414.0
COD,2015,81035531.0
COG,2015,5097581.0
COM,2015,726682.0
CZE,2015,10546059.0
DEU,2015,81686611.0
DJI,2015,1020313.0
DNK,2015,5683483.0
DZA,2015,40019529.0
EGY,2015,99597342.0
ERI,2015,3105546.0
ESP,2015,46422303.0
EST,2015,1315407.0
ETH,2015,103867135.0
FIN,2015,5479531.0
FRA,2015,66548272.0
GAB,2015,2040989.0
GBR,2015,65088000.0
GHA,2015,28696068.0
GIN,2015,11767070.0
GMB,2015,2224529.0
GNB,2015,1786457.0
GNQ,2015,1453923.0
GRC,2015,10820883.0
HRV,2015,4151725.0
HUN,2015,9797755.0
IRL,2015,4701957.0
IRN,2015,82619362.0
IRQ,2015,37560535.0
ITA,2015,60229605.0
JOR,2015,9544729.0
KEN,2015,47088526.0
KWT,2015,3834574.0
LBN,2015,6472469.0
LBR,2015,4659431.0
LBY,2015,6531819.0
LSO,2015,2104611.0
LTU,2015,2911109.0
LVA,2015,1977527.0
MAR,2015,34607588.0
MDG,2015,25426702.0
MLI,2015,18593022.0
MOZ,2015,26547572.0
MRT,2015,3965959.0
MUS,2015,1262879.0
MWI,2015,17085587.0
NAM,2015,2374300.0
NER,2015,19939498.0
NGA,2015,190671878.0
NLD,2015,16939923.0
NOR,2015,5188607.0
OMN,2015,4184895.0
POL,2015,37986412.0
PRT,2015,10358076.0
QAT,2015,2344557.0
ROU,2015,19815616.0
RWA,2015,11640022.0
SAU,2015,29816382.0
SDN,2015,40024431.0
SEN,2015,14593331.0
SLE,2015,7037655.0
SOM,2015,13806963.0
SSD,2015,11107561.0
SWE,2015,9799186.0
SWZ,2015,1142813.0
SYR,2015,19424618.0
TCD,2015,14647621.0
TGO,2015,7663195.0
TUN,2015,11402264.0
TUR,2015,78218479.0
TZA,2015,52020962.0
UGA,2015,37531446.0
YEM,2015,31159379.0
ZAF,2015,56723537.0
ZMB,2015,16399089.0
ZWE,2015,14399013.0
AGO,2016,29183070.0
ALB,2016,2876101.0
ARE,2016,8935095.0
ARM,2016,2992300.0
AUT,2016,8736668.0
BDI,2016,11239451.0
BEL,2016,11331422.0
BEN,2016,11697842.0
BFA,2016,19334856.0
BGR,2016,6894139.0
BHR,2016,1423726.0
BWA,2016,2234776.0
CAF,2016,4713663.0
CHE,2016,8373338.0
CIV,2016,25989405.0
CMR,2016,23454161.0
COD,2016,83956415.0
COG,2016,5222536.0
COM,2016,741741.0
CZE,2016,10566332.0
DEU,2016,82348669.0
DJI,2016,1037653.0
DNK,2016,5728010.0
DZA,2016,40850721.0
EGY,2016,101644589.0
ERI,2016,3124698.0
ESP,2016,46458139.0
EST,2016,1315790.0
ETH,2016,106718162.0
FIN,2016,5495303.0
FRA,2016,66724104.0
GAB,2016,2100306.0
GBR,2016,65607000.0
GHA,2016,29356742.0
GIN,2016,12073030.0
GMB,2016,2283769.0
GNB,2016,1831893.0
GNQ,2016,1508186.0
GRC,2016,10775971.0
HRV,2016,4106867.0
HUN,2016,9759755.0
IRL,2016,4762722.0
IRN,2016,83812228.0
IRQ,2016,38469627.0
ITA,2016,60115223.0
JOR,2016,10006367.0
KEN,2016,48139687.0
KWT,2016,4004096.0
LBN,2016,6323060.0
LBR,2016,4755608.0
LBY,2016,6632126.0
LSO,2016,2130422.0
LTU,2016,2877325.0
LVA,2016,1959537.0
MAR,2016,35023457.0
MDG,2016,26099952.0
MLI,2016,19191289.0
MOZ,2016,27337105.0
MRT,2016,4086657.0
MUS,2016,1263747.0
MWI,2016,17557739.0
NAM,2016,2439213.0
NER,2016,20685753.0
NGA,2016,195443700.0
NLD,2016,17030314.0
NOR,2016,5234519.0
OMN,2016,4390877.0
POL,2016,37970087.0
PRT,2016,10325452.0
QAT,2016,2477113.0
ROU,2016,19702267.0
RWA,2016,11919183.0
SAU,2016,30954198.0
SDN,2016,41259892.0
SEN,2016,15034521.0
SLE,2016,7205328.0
SOM,2016,14348740.0
SSD,2016,10830102.0
SWE,2016,9923085.0
SWZ,2016,1149507.0
SYR,2016,19193834.0
TCD,2016,15114655.0
TGO,2016,7858289.0
TUN,2016,11528674.0
TUR,2016,79277962.0
TZA,2016,53824013.0
UGA,2016,38799152.0
YEM,2016,32109010.0
ZAF,2016,57259551.0
ZMB,2016,16914423.0
ZWE,2016,14600294.0
AGO,2017,30234839.0
ALB,2017,2873457.0
ARE,2017,9223225.0
ARM,2017,2979400.0
AUT,2017,8797566.0
BDI,2017,11506762.0
BEL,2017,11375158.0
BEN,2017,12039780.0
BFA,2017,19894407.0
BGR,2017,6803468.0
BHR,2017,1501116.0
BWA,2017,2266747.0
CAF,2017,4793511.0
CHE,2017,8451840.0
CIV,2017,26733372.0
CMR,2017,24128601.0
COD,2017,87083398.0
COG,2017,5351011.0
COM,2017,756669.0
CZE,2017,10594438.0
DEU,2017,82657002.0
DJI,2017,1054841.0
DNK,2017,5764980.0
DZA,2017,41689299.0
EGY,2017,103696057.0
ERI,2017,3150347.0
ESP,2017,46571232.0
EST,2017,1317384.0
ETH,2017,109666481.0
FIN,2017,5508214.0
FRA,2017,66918020.0
GAB,2017,2156900.0
GBR,2017,65966000.0
GHA,2017,30008354.0
GIN,2017,12385659.0
GMB,2017,2342189.0
GNB,2017,1877072.0
GNQ,2017,1562396.0
GRC,2017,10754679.0
HRV,2017,4041407.0
HUN,2017,9726756.0
IRL,2017,4827445.0
IRN,2017,85026754.0
IRQ,2017,39337353.0
ITA,2017,60002252.0
JOR,2017,10234226.0
KEN,2017,49197766.0
KWT,2017,4154812.0
LBN,2017,6160128.0
LBR,2017,4848925.0
LBY,2017,6738770.0
LSO,2017,2157110.0
LTU,2017,2842639.0
LVA,2017,1942248.0
MAR,2017,35446392.0
MDG,2017,26788375.0
MLI,2017,19813011.0
MOZ,2017,28166393.0
MRT,2017,4210600.0
MUS,2017,1264887.0
MWI,2017,18039715.0
NAM,2017,2506853.0
NER,2017,21435446.0
NGA,2017,200254579.0
NLD,2017,17131296.0
NOR,2017,5276968.0
OMN,2017,4537396.0
POL,2017,37974826.0
PRT,2017,10300300.0
QAT,2017,2545820.0
ROU,2017,19588715.0
RWA,2017,12202060.0
SAU,2017,30977355.0
SDN,2017,42714306.0
SEN,2017,15475002.0
SLE,2017,7379299.0
SOM,2017,14916629.0
SSD,2017,10259154.0
SWE,2017,10057698.0
SWZ,2017,1158195.0
SYR,2017,19224668.0
TCD,2017,15622759.0
TGO,2017,8057140.0
TUN,2017,11650498.0
TUR,2017,80312698.0
TZA,2017,55652890.0
UGA,2017,40177388.0
YEM,2017,33090921.0
ZAF,2017,57635162.0
ZMB,2017,17441320.0
ZWE,2017,14812482.0
AGO,2018,31297155.0
ALB,2018,2866376.0
ARE,2018,9346701.0
ARM,2018,2969000.0
AUT,2018,8840521.0
BDI,2018,11859446.0
BEL,2018,11427054.0
BEN,2018,12383347.0
BFA,2018,20438288.0
BGR,2018,6710798.0
BHR,2018,1503091.0
BWA,2018,2299141.0
CAF,2018,4878657.0
CHE,2018,8514329.0
CIV,2018,27464173.0
CMR,2018,24806383.0
COD,2018,90047644.0
COG,2018,5483118.0
COM,2018,771590.0
CZE,2018,10629928.0
DEU,2018,82905782.0
DJI,2018,1071882.0
DNK,2018,5793636.0
DZA,2018,42505035.0
EGY,2018,105682094.0
ERI,2018,3192760.0
ESP,2018,46782011.0
EST,2018,1321977.0
ETH,2018,112664152.0
FIN,2018,5515525.0
FRA,2018,67158348.0
GAB,2018,2212318.0
GBR,2018,66289000.0
GHA,2018,30637585.0
GIN,2018,12704774.0
GMB,2018,2399632.0
GNB,2018,1922168.0
GNQ,2018,1616422.0
GRC,2018,10732882.0
HRV,2018,3988775.0
HUN,2018,9706964.0
IRL,2018,4898022.0
IRN,2018,86117998.0
IRQ,2018,40265624.0
ITA,2018,60148658.0
JOR,2018,10462306.0
KEN,2018,50207107.0
KWT,2018,4323515.0
LBN,2018,5984119.0
LBR,2018,4944726.0
LBY,2018,6849055.0
LSO,2018,2183603.0
LTU,2018,2819200.0
LVA,2018,1927174.0
MAR,2018,35839760.0
MDG,2018,27494926.0
MLI,2018,20442030.0
MOZ,2018,29018644.0
MRT,2018,4337685.0
MUS,2018,1265577.0
MWI,2018,18528081.0
NAM,2018,2577327.0
NER,2018,22188069.0
NGA,2018,204938755.0
NLD,2018,17231624.0
NOR,2018,5311916.0
OMN,2018,4597877.0
POL,2018,37974750.0
PRT,2018,10283822.0
QAT,2018,2580734.0
ROU,2018,19473970.0
RWA,2018,12487996.0
SAU,2018,30196281.0
SDN,2018,44230596.0
SEN,2018,15914498.0
SLE,2018,7554563.0
SOM,2018,15452487.0
SSD,2018,10122977.0
SWE,2018,10175214.0
SWZ,2018,1168929.0
SYR,2018,19577845.0
TCD,2018,16156531.0
TGO,2018,8258778.0
TUN,2018,11765514.0
TUR,2018,81407204.0
TZA,2018,57437145.0
UGA,2018,41565831.0
YEM,2018,34085182.0
ZAF,2018,58613001.0
ZMB,2018,17973569.0
ZWE,2018,15034452.0
AGO,2019,32375632.0
ALB,2019,2854191.0
ARE,2019,9445785.0
ARM,2019,2962500.0
AUT,2019,8879920.0
BDI,2019,12255336.0
BEL,2019,11488980.0
BEN,2019,12726755.0
BFA,2019,20961952.0
BGR,2019,6616726.0
BHR,2019,1483756.0
BWA,2019,2332083.0
CAF,2019,4944703.0
CHE,2019,8575280.0
CIV,2019,28193009.0
CMR,2019,25506095.0
COD,2019,92947442.0
COG,2019,5616661.0
COM,2019,786578.0
CZE,2019,10671870.0
DEU,2019,83092962.0
DJI,2019,1088709.0
DNK,2019,5814422.0
DZA,2019,43294546.0
EGY,2019,107553158.0
ERI,2019,3240194.0
ESP,2019,47118501.0
EST,2019,1326898.0
ETH,2019,115737383.0
FIN,2019,5521606.0
FRA,2019,67382061.0
GAB,2019,2267706.0
GBR,2019,66631000.0
GHA,2019,31258945.0
GIN,2019,13034346.0
GMB,2019,2456844.0
GNB,2019,1967696.0
GNQ,2019,1670177.0
GRC,2019,10721582.0
HRV,2019,3949390.0
HUN,2019,9694824.0
IRL,2019,4976456.0
IRN,2019,87051648.0
IRQ,2019,41192171.0
ITA,2019,59729081.0
JOR,2019,10671891.0
KEN,2019,51202827.0
KWT,2019,4442316.0
LBN,2019,5794594.0
LBR,2019,5043721.0
LBY,2019,6951033.0
LSO,2019,2209405.0
LTU,2019,2811089.0
LVA,2019,1913822.0
MAR,2019,36210898.0
MDG,2019,28219554.0
MLI,2019,21068405.0
MOZ,2019,29884380.0
MRT,2019,4467708.0
MUS,2019,1265985.0
MWI,2019,19025752.0
NAM,2019,2650494.0
NER,2019,22947757.0
NGA,2019,209485641.0
NLD,2019,17344874.0
NOR,2019,5347896.0
OMN,2019,4591241.0
POL,2019,37965475.0
PRT,2019,10286263.0
QAT,2019,2638657.0
ROU,2019,19371648.0
RWA,2019,12776103.0
SAU,2019,30063799.0
SDN,2019,45548175.0
SEN,2019,16352922.0
SLE,2019,7731991.0
SOM,2019,16030971.0
SSD,2019,10423384.0
SWE,2019,10278887.0
SWZ,2019,1179874.0
SYR,2019,20353534.0
TCD,2019,16685223.0
TGO,2019,8463068.0
TUN,2019,11875081.0
TUR,2019,82579440.0
TZA,2019,59174891.0
UGA,2019,42999637.0
YEM,2019,35111408.0
ZAF,2019,59587885.0
ZMB,2019,18513839.0
ZWE,2019,15271368.0
AGO,2020,33451132.0
ALB,2020,2837849.0
ARE,2020,9401038.0
ARM,2020,2961500.0
AUT,2020,8916864.0
BDI,2020,12617036.0
BEL,2020,11538604.0
BEN,2020,13070169.0
BFA,2020,21478690.0
BGR,2020,6550696.0
BHR,2020,1472204.0
BWA,2020,2365894.0
CAF,2020,5026628.0
CHE,2020,8638167.0
CIV,2020,28915449.0
CMR,2020,26210558.0
COD,2020,95989998.0
COG,2020,5752791.0
COM,2020,802163.0
CZE,2020,10697858.0
DEU,2020,83160871.0
DJI,2020,1105188.0
DNK,2020,5831404.0
DZA,2020,44042091.0
EGY,2020,109315124.0
ERI,2020,3291271.0
ESP,2020,47359424.0
EST,2020,1329522.0
ETH,2020,118917671.0
FIN,2020,5529543.0
FRA,2020,67601110.0
GAB,2020,2322539.0
GBR,2020,66744000.0
GHA,2020,31887809.0
GIN,2020,13371183.0
GMB,2020,2515733.0
GNB,2020,2013255.0
GNQ,2020,1716468.0
GRC,2020,10698599.0
HRV,2020,3914206.0
HUN,2020,9670419.0
IRL,2020,5039747.0
IRN,2020,87723443.0
IRQ,2020,42116605.0
ITA,2020,59438851.0
JOR,2020,10865228.0
KEN,2020,52217334.0
KWT,2020,4400267.0
LBN,2020,5702398.0
LBR,2020,5149463.0
LBY,2020,7045399.0
LSO,2020,2235727.0
LTU,2020,2810369.0
LVA,2020,1900449.0
MAR,2020,36584208.0
MDG,2020,28953556.0
MLI,2020,21713836.0
MOZ,2020,30783688.0
MRT,2020,4600131.0
MUS,2020,1266014.0
MWI,2020,19533888.0
NAM,2020,2728762.0
NER,2020,23717613.0
NGA,2020,213996181.0
NLD,2020,17441500.0
NOR,2020,5379475.0
OMN,2020,4522497.0
POL,2020,37515748.0
PRT,2020,10297081.0
QAT,2020,2794148.0
ROU,2020,19265250.0
RWA,2020,13065837.0
SAU,2020,31552510.0
SDN,2020,46789231.0
SEN,2020,16789219.0
SLE,2020,7912558.0
SOM,2020,16651191.0
SSD,2020,10698467.0
SWE,2020,10353442.0
SWZ,2020,1192729.0
SYR,2020,21049429.0
TCD,2020,17224679.0
TGO,2020,8669720.0
TUN,2020,11974057.0
TUR,2020,83384680.0
TZA,2020,60972798.0
UGA,2020,44457152.0
YEM,2020,36134863.0
ZAF,2020,60562381.0
ZMB,2020,19059395.0
ZWE,2020,15526888.0
AGO,2021,34532429.0
ALB,2021,2811666.0
ARE,2021,9575152.0
ARM,2021,2962300.0
AUT,2021,8955797.0
BDI,2021,12965481.0
BEL,2021,11586195.0
BEN,2021,13413417.0
BFA,2021,21995243.0
BGR,2021,6507301.0
BHR,2021,1504365.0
BWA,2021,2401441.0
CAF,2021,5112100.0
CHE,2021,8704546.0
CIV,2021,29639736.0
CMR,2021,26915758.0
COD,2021,99148932.0
COG,2021,5892183.0
COM,2021,818174.0
CZE,2021,10505772.0
DEU,2021,83196078.0
DJI,2021,1121248.0
DNK,2021,5856733.0
DZA,2021,44761099.0
EGY,2021,110957008.0
ERI,2021,3350183.0
ESP,2021,47443821.0
EST,2021,1330932.0
ETH,2021,122138588.0
FIN,2021,5541017.0
FRA,2021,67842811.0
GAB,2021,2376722.0
GBR,2021,66984000.0
GHA,2021,32518665.0
GIN,2021,13710513.0
GMB,2021,2576010.0
GNB,2021,2058841.0
GNQ,2021,1758786.0
GRC,2021,10569207.0
HRV,2021,3878981.0
HUN,2021,9630932.0
IRL,2021,5110585.0
IRN,2021,88455488.0
IRQ,2021,43071211.0
ITA,2021,59133173.0
JOR,2021,11066356.0
KEN,2021,53219166.0
KWT,2021,4360865.0
LBN,2021,5718122.0
LBR,2021,5259323.0
LBY,2021,7135175.0
LSO,2021,2261542.0
LTU,2021,2808380.0
LVA,2021,1884490.0
MAR,2021,36954442.0
MDG,2021,29691083.0
MLI,2021,22388630.0
MOZ,2021,31707800.0
MRT,2021,4734874.0
MUS,2021,1266334.0
MWI,2021,20047258.0
NAM,2021,2810548.0
NER,2021,24502140.0
NGA,2021,218529286.0
NLD,2021,17533044.0
NOR,2021,5408320.0
OMN,2021,4500424.0
POL,2021,36981559.0
PRT,2021,10361831.0
QAT,2021,2504910.0
ROU,2021,19122059.0
RWA,2021,13355260.0
SAU,2021,30784383.0
SDN,2021,48066924.0
SEN,2021,17220867.0
SLE,2021,8094602.0
SOM,2021,17271431.0
SSD,2021,10865780.0
SWE,2021,10415811.0
SWZ,2021,1206593.0
SYR,2021,21628839.0
TCD,2021,17828273.0
TGO,2021,8878379.0
TUN,2021,12048622.0
TUR,2021,84147318.0
TZA,2021,62830412.0
UGA,2021,45910930.0
YEM,2021,37140230.0
ZAF,2021,61502603.0
ZMB,2021,19603607.0
ZWE,2021,15797210.0
AGO,2022,35635029.0
ALB,2022,2777689.0
ARE,2022,10074977.0
ARM,2022,2969200.0
AUT,2022,9041851.0
BDI,2022,13321097.0
BEL,2022,11680210.0
BEN,2022,13759501.0
BFA,2022,22509038.0
BGR,2022,6465097.0
BHR,2022,1524693.0
BWA,2022,2439892.0
CAF,2022,5098039.0
CHE,2022,8777088.0
CIV,2022,30395002.0
CMR,2022,27632771.0
COD,2022,102396968.0
COG,2022,6035104.0
COM,2022,834188.0
CZE,2022,10672118.0
DEU,2022,83797985.0
DJI,2022,1137096.0
DNK,2022,5903037.0
DZA,2022,45477389.0
EGY,2022,112618250.0
ERI,2022,3409447.0
ESP,2022,47786102.0
EST,2022,1348840.0
ETH,2022,125384287.0
FIN,2022,5556106.0
FRA,2022,68065015.0
GAB,2022,2430747.0
GBR,2022,67604000.0
GHA,2022,33149152.0
GIN,2022,14055137.0
GMB,2022,2636470.0
GNB,2022,2105529.0
GNQ,2022,1803545.0
GRC,2022,10436882.0
HRV,2022,3855641.0
HUN,2022,9605074.0
IRL,2022,5212836.0
IRN,2022,89524246.0
IRQ,2022,44070551.0
ITA,2022,59013667.0
JOR,2022,11256263.0
KEN,2022,54252461.0
KWT,2022,4589643.0
LBN,2022,5744489.0
LBR,2022,5373294.0
LBY,2022,7223805.0
LSO,2022,2286110.0
LTU,2022,2831639.0
LVA,2022,1879383.0
MAR,2022,37329064.0
MDG,2022,30437261.0
MLI,2022,23072640.0
MOZ,2022,32656246.0
MRT,2022,4875637.0
MUS,2022,1262523.0
MWI,2022,20568728.0
NAM,2022,2889662.0
NER,2022,25311973.0
NGA,2022,223150896.0
NLD,2022,17700982.0
NOR,2022,5457127.0
OMN,2022,4730226.0
POL,2022,36821749.0
PRT,2022,10434332.0
QAT,2022,2657333.0
ROU,2022,19048502.0
RWA,2022,13651030.0
SAU,2022,32175224.0
SDN,2022,49383346.0
SEN,2022,17651103.0
SLE,2022,8276807.0
SOM,2022,17801897.0
SSD,2022,11021177.0
SWE,2022,10486941.0
SWZ,2022,1218917.0
SYR,2022,22462173.0
TCD,2022,18455316.0
TGO,2022,9089738.0
TUN,2022,12119334.0
TUR,2022,84979913.0
TZA,2022,64711821.0
UGA,2022,47312719.0
YEM,2022,38222876.0
ZAF,2022,62378410.0
ZMB,2022,20152938.0
ZWE,2022,16069056.0
AGO,2023,36749906.0
ALB,2023,2745972.0
ARE,2023,10483751.0
ARM,2023,2964300.0
AUT,2023,9131761.0
BDI,2023,13689450.0
BEL,2023,11787423.0
BEN,2023,14111034.0
BFA,2023,23025776.0
BGR,2023,6446596.0
BHR,2023,1577059.0
BWA,2023,2480244.0
CAF,2023,5152421.0
CHE,2023,8888093.0
CIV,2023,31165654.0
CMR,2023,28372687.0
COD,2023,105789731.0
COG,2023,6182885.0
COM,2023,850387.0
CZE,2023,10864042.0
DEU,2023,83901923.0
DJI,2023,1152944.0
DNK,2023,5946952.0
DZA,2023,46164219.0
EGY,2023,114535772.0
ERI,2023,3470390.0
ESP,2023,48347910.0
EST,2023,1370286.0
ETH,2023,128691692.0
FIN,2023,5583911.0
FRA,2023,68287487.0
GAB,2023,2484789.0
GBR,2023,68492000.0
GHA,2023,33787914.0
GIN,2023,14405468.0
GMB,2023,2697845.0
GNB,2023,2153339.0
GNQ,2023,1847549.0
GRC,2023,10405588.0
HRV,2023,3859686.0
HUN,2023,9592186.0
IRL,2023,5307600.0
IRN,2023,90608707.0
IRQ,2023,45074049.0
ITA,2023,58993475.0
JOR,2023,11439213.0
KEN,2023,55339003.0
KWT,2023,4853420.0
LBN,2023,5773493.0
LBR,2023,5493031.0
LBY,2023,7305659.0
LSO,2023,2311472.0
LTU,2023,2871585.0
LVA,2023,1877445.0
MAR,2023,37712505.0
MDG,2023,31195932.0
MLI,2023,23769127.0
MOZ,2023,33635160.0
MRT,2023,5022441.0
MUS,2023,1261041.0
MWI,2023,21104482.0
NAM,2023,2963095.0
NER,2023,26159867.0
NGA,2023,227882945.0
NLD,2023,17877117.0
NOR,2023,5519594.0
OMN,2023,5049269.0
POL,2023,36687353.0
PRT,2023,10578174.0
QAT,2023,2656032.0
ROU,2023,19059479.0
RWA,2023,13954471.0
SAU,2023,33702731.0
SDN,2023,50042791.0
SEN,2023,18077573.0
